,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2021 Census of Population and Housing,,,,,,,,
General Community Profile DataPack Metadata,,,,,,,,
,,,,,,,,
,,Celldescriptors,,,,,,
G13175,P_FS_NS_Total,PERSONS_Field_of_study_not_stated_Total,G51C,G51,Total|PERSONS,,,
G13176,P_Tot_Occ_Mng,PERSONS_Total_Occupation_Managers,G51C,G51,Occupation: Managers|PERSONS,,,
G13177,P_Tot_Occ_Pro,PERSONS_Total_Occupation_Professionals,G51C,G51,Occupation: Professionals|PERSONS,,,
G13178,P_Tot_Occ_TTW,PERSONS_Total_Occupation_Technicians_and_trades_workers,G51C,G51,Occupation: Technicians & trades workers|PERSONS,,,
G13179,P_Tot_Occ_CPS,PERSONS_Total_Occupation_Community_and_personal_service_workers,G51C,G51,Occupation: Community & personal service workers|PERSONS,,,
G13180,P_Tot_Occ_CA,PERSONS_Total_Occupation_Clerical_and_administrative_workers,G51C,G51,Occupation: Clerical & administrative workers|PERSONS,,,
G13181,P_Tot_Occ_Sal,PERSONS_Total_Occupation_Sales_workers,G51C,G51,Occupation: Sales workers|PERSONS,,,
G13182,P_Tot_Occ_MOD,PERSONS_Total_Occupation_Machinery_operators_and_drivers,G51C,G51,Occupation: Machinery operators & drivers|PERSONS,,,
G13183,P_Tot_Occ_Lab,PERSONS_Total_Occupation_Labourers,G51C,G51,Occupation: Labourers|PERSONS,,,
G13184,P_Tot_Occ_IDNS,PERSONS_Total_Occupation_Inadequately_described_Not_stated,G51C,G51,Occupation: Inadequately described/ Not stated|PERSONS,,,
G13185,P_Total_Total,PERSONS_Total_Total,G51C,G51,Total|PERSONS,,,
G13186,M_PoDe_PoDe_NFD_Mng,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13187,M_PoDe_PoDe_NFD_Pro,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13188,M_PoDe_PoDe_NFD_TTW,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13189,M_PoDe_PoDe_NFD_CPS,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13190,M_PoDe_PoDe_NFD_CA,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13191,M_PoDe_PoDe_NFD_Sal,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13192,M_PoDe_PoDe_NFD_MOD,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13193,M_PoDe_PoDe_NFD_Lab,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13194,M_PoDe_PoDe_NFD_IDNS,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13195,M_PoDe_PoDe_NFD_Tot,MALES_Postgraduate_Degree_Level_Postgraduate_Degree_Level_nfd_Total,G52A,G52,Total|MALES,,,
G13196,M_PoDe_DoctDe_Mng,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13197,M_PoDe_DoctDe_Pro,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13198,M_PoDe_DoctDe_TTW,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13199,M_PoDe_DoctDe_CPS,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13200,M_PoDe_DoctDe_CA,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13201,M_PoDe_DoctDe_Sal,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13202,M_PoDe_DoctDe_MOD,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13203,M_PoDe_DoctDe_Lab,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13204,M_PoDe_DoctDe_IDNS,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13205,M_PoDe_DoctDe_Tot,MALES_Postgraduate_Degree_Level_Doctoral_Degree_Level_Total,G52A,G52,Total|MALES,,,
G13206,M_PoDe_MasDe_Mng,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13207,M_PoDe_MasDe_Pro,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13208,M_PoDe_MasDe_TTW,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13209,M_PoDe_MasDe_CPS,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13210,M_PoDe_MasDe_CA,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13211,M_PoDe_MasDe_Sal,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13212,M_PoDe_MasDe_MOD,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13213,M_PoDe_MasDe_Lab,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13214,M_PoDe_MasDe_IDNS,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13215,M_PoDe_MasDe_Tot,MALES_Postgraduate_Degree_Level_Master_Degree_Level_Total,G52A,G52,Total|MALES,,,
G13216,M_GrDiGrCer_GrDiGrCerNFD_Mng,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13217,M_GrDiGrCer_GrDiGrCerNFD_Pro,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13218,M_GrDiGrCer_GrDiGrCerNFD_TTW,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13219,M_GrDiGrCer_GrDiGrCerNFD_CPS,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13220,M_GrDiGrCer_GrDiGrCerNFD_CA,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13221,M_GrDiGrCer_GrDiGrCerNFD_Sal,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13222,M_GrDiGrCer_GrDiGrCerNFD_MOD,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13223,M_GrDiGrCer_GrDiGrCerNFD_Lab,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13224,M_GrDiGrCer_GrDiGrCerNFD_IDNS,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13225,M_GrDiGrCer_GrDiGrCerNFD_Tot,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_and_Graduate_Certificate_Level_nfd_Total,G52A,G52,Total|MALES,,,
G13226,M_GrDi_GrCer_GrDi_Mng,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13227,M_GrDi_GrCer_GrDi_Pro,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13228,M_GrDi_GrCer_GrDi_TTW,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13229,M_GrDi_GrCer_GrDi_CPS,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13230,M_GrDi_GrCer_GrDi_CA,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13231,M_GrDi_GrCer_GrDi_Sal,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13232,M_GrDi_GrCer_GrDi_MOD,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13233,M_GrDi_GrCer_GrDi_Lab,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13234,M_GrDi_GrCer_GrDi_IDNS,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13235,M_GrDi_GrCer_GrDi_Tot,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Diploma_Level_Total,G52A,G52,Total|MALES,,,
G13236,M_GrDi_GrCer_GradCer_Mng,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13237,M_GrDi_GrCer_GradCer_Pro,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13238,M_GrDi_GrCer_GradCer_TTW,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13239,M_GrDi_GrCer_GradCer_CPS,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13240,M_GrDi_GrCer_GradCer_CA,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13241,M_GrDi_GrCer_GradCer_Sal,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13242,M_GrDi_GrCer_GradCer_MOD,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13243,M_GrDi_GrCer_GradCer_Lab,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13244,M_GrDi_GrCer_GradCer_IDNS,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13245,M_GrDi_GrCer_GradCer_Tot,MALES_Graduate_Diploma_and_Graduate_Certificate_Level_Graduate_Certificate_Level_Total,G52A,G52,Total|MALES,,,
G13246,M_BaDe_BaDe_Mng,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13247,M_BaDe_BaDe_Pro,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13248,M_BaDe_BaDe_TTW,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13249,M_BaDe_BaDe_CPS,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13250,M_BaDe_BaDe_CA,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13251,M_BaDe_BaDe_Sal,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13252,M_BaDe_BaDe_MOD,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13253,M_BaDe_BaDe_Lab,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13254,M_BaDe_BaDe_IDNS,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13255,M_BaDe_BaDe_Tot,MALES_Bachelor_Degree_Level_Bachelor_Degree_Level_Total,G52A,G52,Total|MALES,,,
G13256,M_AdvDi_Di_AdvDi_Di_NFD_Mng,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13257,M_AdvDi_Di_AdvDi_Di_NFD_Pro,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13258,M_AdvDi_Di_AdvDi_Di_NFD_TTW,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13259,M_AdvDi_Di_AdvDi_Di_NFD_CPS,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13260,M_AdvDi_Di_AdvDi_Di_NFD_CA,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13261,M_AdvDi_Di_AdvDi_Di_NFD_Sal,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13262,M_AdvDi_Di_AdvDi_Di_NFD_MOD,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13263,M_AdvDi_Di_AdvDi_Di_NFD_Lab,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13264,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13265,M_AdvDi_Di_AdvDi_Di_NFD_Tot,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Diploma_Level_nfd_Total,G52A,G52,Total|MALES,,,
G13266,M_AdvDi_Di_AdvDi_AsDe_Mng,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13267,M_AdvDi_Di_AdvDi_AsDe_Pro,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13268,M_AdvDi_Di_AdvDi_AsDe_TTW,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13269,M_AdvDi_Di_AdvDi_AsDe_CPS,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13270,M_AdvDi_Di_AdvDi_AsDe_CA,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13271,M_AdvDi_Di_AdvDi_AsDe_Sal,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13272,M_AdvDi_Di_AdvDi_AsDe_MOD,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13273,M_AdvDi_Di_AdvDi_AsDe_Lab,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13274,M_AdvDi_Di_AdvDi_AsDe_IDNS,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13275,M_AdvDi_Di_AdvDi_AsDe_Tot,MALES_Advanced_Diploma_and_Diploma_Level_Advanced_Diploma_and_Associate_Degree_Level_Total,G52A,G52,Total|MALES,,,
G13276,M_AdvDi_Di_Dip_Mng,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13277,M_AdvDi_Di_Dip_Pro,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13278,M_AdvDi_Di_Dip_TTW,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13279,M_AdvDi_Di_Dip_CPS,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13280,M_AdvDi_Di_Dip_CA,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13281,M_AdvDi_Di_Dip_Sal,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13282,M_AdvDi_Di_Dip_MOD,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13283,M_AdvDi_Di_Dip_Lab,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13284,M_AdvDi_Di_Dip_IDNS,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13285,M_AdvDi_Di_Dip_Tot,MALES_Advanced_Diploma_and_Diploma_Level_Diploma_Level_Total,G52A,G52,Total|MALES,,,
G13286,M_Cert_CertIII_IV_Mng,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13287,M_Cert_CertIII_IV_Pro,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13288,M_Cert_CertIII_IV_TTW,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13289,M_Cert_CertIII_IV_CPS,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13290,M_Cert_CertIII_IV_CA,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13291,M_Cert_CertIII_IV_Sal,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13292,M_Cert_CertIII_IV_MOD,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13293,M_Cert_CertIII_IV_Lab,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13294,M_Cert_CertIII_IV_IDNS,MALES_Certificate_Level_Certificate_III_and_IV_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13295,M_Cert_CertIII_IV_Tot,MALES_Certificate_Level_Certificate_III_and_IV_Level_Total,G52A,G52,Total|MALES,,,
G13296,M_Cert_CertI_II_Mng,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13297,M_Cert_CertI_II_Pro,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13298,M_Cert_CertI_II_TTW,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13299,M_Cert_CertI_II_CPS,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13300,M_Cert_CertI_II_CA,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13301,M_Cert_CertI_II_Sal,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13302,M_Cert_CertI_II_MOD,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13303,M_Cert_CertI_II_Lab,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13304,M_Cert_CertI_II_IDNS,MALES_Certificate_Level_Certificate_I_and_II_Level_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13305,M_Cert_CertI_II_Tot,MALES_Certificate_Level_Certificate_I_and_II_Level_Total,G52A,G52,Total|MALES,,,
G13306,M_Cert_Cert_nfd_Mng,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
G13307,M_Cert_Cert_nfd_Pro,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Professionals,G52A,G52,Occupation: Professionals|MALES,,,
G13308,M_Cert_Cert_nfd_TTW,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Technicians_and_trades_workers,G52A,G52,Occupation: Technicians & trades workers|MALES,,,
G13309,M_Cert_Cert_nfd_CPS,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Community_and_personal_service_workers,G52A,G52,Occupation: Community & personal service workers|MALES,,,
G13310,M_Cert_Cert_nfd_CA,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Clerical_and_administrative_workers,G52A,G52,Occupation: Clerical & administrative workers|MALES,,,
G13311,M_Cert_Cert_nfd_Sal,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Sales_workers,G52A,G52,Occupation: Sales workers|MALES,,,
G13312,M_Cert_Cert_nfd_MOD,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Machinery_operators_and_drivers,G52A,G52,Occupation: Machinery operators & drivers|MALES,,,
G13313,M_Cert_Cert_nfd_Lab,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Labourers,G52A,G52,Occupation: Labourers|MALES,,,
G13314,M_Cert_Cert_nfd_IDNS,MALES_Certificate_Level_Certificate_Level_nfd_Occupation_Inadequately_described_Not_stated,G52A,G52,Occupation: Inadequately described/ Not stated|MALES,,,
G13315,M_Cert_Cert_nfd_Tot,MALES_Certificate_Level_Certificate_Level_nfd_Total,G52A,G52,Total|MALES,,,
G13316,M_LE_ID_Mng,MALES_Level_of_education_inadequately_described_Occupation_Managers,G52A,G52,Occupation: Managers|MALES,,,
